,structure_name,crystal_target,compound_chembl_id,on_target,off_target,activity_type,activity_ratio,BRD1_acceptor_hit,BRD1_apolar_hit
42,BRPF1_struct_5G4R_LF1_A_aligned,BRPF1,CHEMBL3828191,BRD1,BRPF1,IC50,0.000999964750078,0,0
43,BRPF1_struct_5G4R_LF1_B_aligned,BRPF1,CHEMBL3828191,BRD1,BRPF1,IC50,0.000999964750078,0,0
44,BRPF1_struct_5G4R_LF1_C_aligned,BRPF1,CHEMBL3828191,BRD1,BRPF1,IC50,0.000999964750078,0,0
45,BRPF1_struct_5G4R_LF1_D_aligned,BRPF1,CHEMBL3828191,BRD1,BRPF1,IC50,0.000999964750078,0,0
94,BRPF1_struct_4UYE_9F9_A_aligned,BRPF1,CHEMBL1522313,BRD1,BRPF1,IC50,0.1233747268131049,0,0
95,BRPF1_struct_4UYE_9F9_B_aligned,BRPF1,CHEMBL1522313,BRD1,BRPF1,IC50,0.1233747268131049,0,0
130,BRPF1_struct_5T4V_N48_A_aligned,BRPF1,CHEMBL4096095,BRD1,BRPF1,IC50,0.0333333333333333,0,1
131,BRPF1_struct_5T4V_N48_A_aligned,BRPF1,CHEMBL4096095,BRD1,BRD4,IC50,9.444444444444445,0,1
132,BRPF1_struct_5T4V_N48_A_aligned,BRPF1,CHEMBL4096095,BRD1,BRD9,IC50,0.4944444444444444,0,1
232,BRD1_struct_5N49_8LW_B_aligned,BRD1,CHEMBL4098824,BRD1,BRPF1,IC50,16.48936170212766,0,1
233,BRD1_struct_5N49_8LW_B_aligned,BRD1,CHEMBL4098824,BRD1,BRD4,IC50,177.6595744680851,0,1
248,BRPF1_struct_5G4S_8VI_A_aligned,BRPF1,CHEMBL3827932,BRD1,BRPF1,IC50,0.0199526244884147,0,0
280,BRPF1_struct_5MYG_LS8_A_aligned,BRPF1,CHEMBL3752151,BRD1,BRPF1,IC50,0.067391304347826,0,1
281,BRPF1_struct_5MYG_LS8_B_aligned,BRPF1,CHEMBL3752151,BRD1,BRPF1,IC50,0.067391304347826,0,1
282,BRPF1_struct_5MYG_LS8_C_aligned,BRPF1,CHEMBL3752151,BRD1,BRPF1,IC50,0.067391304347826,0,1
283,BRPF1_struct_5MYG_LS8_D_aligned,BRPF1,CHEMBL3752151,BRD1,BRPF1,IC50,0.067391304347826,0,1
284,BRPF1_struct_5MYG_LS8_A_aligned,BRPF1,CHEMBL3752151,BRD1,BRD4,IC50,80.43478260869566,0,1
285,BRPF1_struct_5MYG_LS8_B_aligned,BRPF1,CHEMBL3752151,BRD1,BRD4,IC50,80.43478260869566,0,1
286,BRPF1_struct_5MYG_LS8_C_aligned,BRPF1,CHEMBL3752151,BRD1,BRD4,IC50,80.43478260869566,0,1
287,BRPF1_struct_5MYG_LS8_D_aligned,BRPF1,CHEMBL3752151,BRD1,BRD4,IC50,80.43478260869566,0,1
288,BRPF1_struct_5MYG_LS8_A_aligned,BRPF1,CHEMBL3752151,BRD1,BRD9,IC50,11.304347826086955,0,1
289,BRPF1_struct_5MYG_LS8_B_aligned,BRPF1,CHEMBL3752151,BRD1,BRD9,IC50,11.304347826086955,0,1
290,BRPF1_struct_5MYG_LS8_C_aligned,BRPF1,CHEMBL3752151,BRD1,BRD9,IC50,11.304347826086955,0,1
291,BRPF1_struct_5MYG_LS8_D_aligned,BRPF1,CHEMBL3752151,BRD1,BRD9,IC50,11.304347826086955,0,1
328,BRPF1_struct_5MYG_LS8_A_aligned,BRPF1,CHEMBL3752151,BRD1,BRPF1,Kd,0.287037037037037,0,1
329,BRPF1_struct_5MYG_LS8_B_aligned,BRPF1,CHEMBL3752151,BRD1,BRPF1,Kd,0.287037037037037,0,1
330,BRPF1_struct_5MYG_LS8_C_aligned,BRPF1,CHEMBL3752151,BRD1,BRPF1,Kd,0.287037037037037,0,1
331,BRPF1_struct_5MYG_LS8_D_aligned,BRPF1,CHEMBL3752151,BRD1,BRPF1,Kd,0.287037037037037,0,1
332,BRPF1_struct_5MYG_LS8_A_aligned,BRPF1,CHEMBL3752151,BRD1,BRD9,Kd,9.25925925925926,0,1
333,BRPF1_struct_5MYG_LS8_B_aligned,BRPF1,CHEMBL3752151,BRD1,BRD9,Kd,9.25925925925926,0,1
334,BRPF1_struct_5MYG_LS8_C_aligned,BRPF1,CHEMBL3752151,BRD1,BRD9,Kd,9.25925925925926,0,1
335,BRPF1_struct_5MYG_LS8_D_aligned,BRPF1,CHEMBL3752151,BRD1,BRD9,Kd,9.25925925925926,0,1
356,BRD1_struct_5FG6_5XE_A_aligned,BRD1,CHEMBL3770173,BRD1,BRPF1,IC50,0.225,0,0
357,BRPF1_struct_5FG4_5XE_A_aligned,BRPF1,CHEMBL3770173,BRD1,BRPF1,IC50,0.225,0,0
360,BRD1_struct_5FG6_5XE_A_aligned,BRD1,CHEMBL3770173,BRD1,BRPF1,Kd,0.2,0,0
361,BRPF1_struct_5FG4_5XE_A_aligned,BRPF1,CHEMBL3770173,BRD1,BRPF1,Kd,0.2,0,0
366,BRPF1_struct_5FG5_5XF_A_aligned,BRPF1,CHEMBL3356143,BRD1,BRPF1,IC50,0.036036036036036,0,0
367,BRPF1_struct_5FG5_5XF_B_aligned,BRPF1,CHEMBL3356143,BRD1,BRPF1,IC50,0.036036036036036,0,0
368,BRPF1_struct_5FG5_5XF_A_aligned,BRPF1,CHEMBL3356143,BRD1,BRD4,IC50,9.36936936936937,0,0
369,BRPF1_struct_5FG5_5XF_B_aligned,BRPF1,CHEMBL3356143,BRD1,BRD4,IC50,9.36936936936937,0,0
